DataStructure,N,Run,InsertionTime_us,Height,AvgSearchTime_ns
SkipList_p05,524288,9,266017,18,0
SkipList_p025,524288,9,337097,10,0
SkipList_p075,524288,9,263198,33,0
BST,524288,10,120891,48,0
AVL,524288,10,175862,22,0
Treap,524288,10,153234,47,0
SkipList_p05,524288,10,260818,24,0
SkipList_p025,524288,10,304522,11,0
SkipList_p075,524288,10,290057,33,0
BST,1048576,1,345988,53,0
AVL,1048576,1,317113,23,0
Treap,1048576,1,396657,46,0
SkipList_p05,1048576,1,734517,21,0
SkipList_p025,1048576,1,946660,10,0
SkipList_p075,1048576,1,726148,33,0
BST,1048576,2,292765,49,0
AVL,1048576,2,321798,23,0
Treap,1048576,2,414393,53,0
SkipList_p05,1048576,2,922071,22,0
SkipList_p025,1048576,2,904319,12,0
SkipList_p075,1048576,2,698675,33,0
BST,1048576,3,286942,50,0
AVL,1048576,3,309266,23,0
Treap,1048576,3,388332,47,0
SkipList_p05,1048576,3,729645,19,0
SkipList_p025,1048576,3,942146,11,0
SkipList_p075,1048576,3,714328,33,0
BST,1048576,4,304274,50,0
AVL,1048576,4,308766,23,0
Treap,1048576,4,391767,49,0
SkipList_p05,1048576,4,823910,19,0
SkipList_p025,1048576,4,1083643,10,0
SkipList_p075,1048576,4,712705,33,0
BST,1048576,5,342889,50,1
AVL,1048576,5,339273,23,0
Treap,1048576,5,390261,46,0
SkipList_p05,1048576,5,720041,22,0
SkipList_p025,1048576,5,904260,10,0
SkipList_p075,1048576,5,705946,33,0
BST,1048576,6,296598,47,0
AVL,1048576,6,316903,23,0
Treap,1048576,6,404571,48,1
SkipList_p05,1048576,6,733205,19,0
SkipList_p025,1048576,6,913860,10,0
SkipList_p075,1048576,6,702182,33,0
BST,1048576,7,289700,45,0
AVL,1048576,7,313234,23,0
Treap,1048576,7,393789,45,1
SkipList_p05,1048576,7,774699,18,0
SkipList_p025,1048576,7,1170380,12,0
SkipList_p075,1048576,7,711465,33,0
BST,1048576,8,355819,48,0
AVL,1048576,8,402243,23,0
Treap,1048576,8,393450,45,0
SkipList_p05,1048576,8,737062,20,0
SkipList_p025,1048576,8,1067625,9,0
SkipList_p075,1048576,8,746384,33,0
BST,1048576,9,317970,48,0
AVL,1048576,9,348048,23,0
Treap,1048576,9,410394,47,0
SkipList_p05,1048576,9,739986,21,0
SkipList_p025,1048576,9,993863,9,0
SkipList_p075,1048576,9,766836,33,0
BST,1048576,10,406308,47,1
AVL,1048576,10,329096,23,0
Treap,1048576,10,548793,48,0
SkipList_p05,1048576,10,729041,20,0
SkipList_p025,1048576,10,903450,11,0
SkipList_p075,1048576,10,701078,33,0
